tool,slug,license_2026,github_stars_2026,pricing_model_2026,entry_price_2026,free_tier_2026,sso_tier_2026,sso_tier_cost_2026,entry_price_2023,pricing_model_2023,sso_tier_2023,source_2023_wayback,covered_in_vol1,what_changed_2023_to_2026
Appsmith,appsmith,Apache 2.0,~40k,per-seat,$15/user-mo (Business),5 cloud users,Enterprise,"$2,500/mo (100 users)",$0.40/hr/user cap $20/user-mo,"usage (hourly, capped)",Business,https://web.archive.org/web/20230722122135/https://www.appsmith.com/pricing,yes,"Dropped hourly billing for a flat, lower seat price"
Cal.com,calcom,MIT,~44.6k,per-seat,"$12/seat-mo (Teams, annual)",1 user,Organizations,$28/seat-mo,$12/seat-mo (Teams),per-seat,Teams ($12/seat),https://web.archive.org/web/20230626210401/https://cal.com/pricing,yes,Price held; SSO moved up a tier (Teams to Organizations)
Chatwoot,chatwoot,MIT core + commercial enterprise/ dir,~29.7k,per-seat,"$19/agent-mo (Startups, annual)",2 agents / 500 conv-mo,Enterprise,$99/agent-mo,$19/agent-mo (Startups),per-seat,Enterprise ($99/agent),https://web.archive.org/web/20230323212950/https://www.chatwoot.com/pricing,yes,Unchanged
ClickHouse,clickhouse,Apache 2.0 (core),~47.6k,usage,$25.30/TB-mo + $0.2181/unit-hr (~$66.52 example),30-day trial,Enterprise,"$2,669+/mo (custom)",$35.33/TB-mo + $0.2160/unit-hr ($50-193 Dev),usage,not shown,https://web.archive.org/web/20230609140405/https://clickhouse.com/pricing,yes,Storage ~28% cheaper; compute roughly flat
Coolify,coolify,Apache-2.0,"52,600+",flat,$5/mo (Cloud),self-hosted unlimited,n/a,n/a,DID NOT EXIST (free OSS self-host only),free OSS,n/a,,no,New to this volume (no 2023 pricing page)
Dify,dify,Modified Apache 2.0,139k,flat + credits,$59/mo (Pro),200 credits (lifetime),Enterprise,custom,$59/mo (Pro),flat (seats+apps+vector quota),'coming soon' (Team $159),https://web.archive.org/web/20231208181747/https://dify.ai/pricing,no,Price held; AI message-credit bundles formalized
Documenso,documenso,AGPL-3.0,,flat,$25/mo (Individual),5 docs/mo,n/a (Enterprise custom),custom,"$30/mo (Early Adopters, locked)",flat per-account,not shown,https://web.archive.org/web/20231126220929/https://documenso.com/pricing,no,One plan to tiers; $250 Platform is the embed-license escape hatch
Firecrawl,firecrawl,"AGPL-3.0 (core), MIT (ext)",,usage (credits),$16/mo (Hobby),500 credits,,,DID NOT EXIST (launched 2024),,,,no,New to this volume (launched 2024)
Grafana,grafana,"AGPL (core), Apache 2.0 (Agent/Alloy)",~66k,usage + flat,$19/mo + usage (Pro),14-day metrics / 3-day logs,Enterprise,"$25,000/year commit",$29/mo + usage (Cloud Pro),usage + flat,not shown on page,https://web.archive.org/web/20230703114043/https://grafana.com/pricing/,no,Pro minimum dropped $29 to $19; now meters five signals
Infisical,infisical,MIT core + proprietary EE,"25,700+",per-seat,$18/identity-mo (Pro),5 identities,Pro,$18/identity-mo,"$6/dev-mo (Team, annual)",per-seat,Pro ($14/dev),https://web.archive.org/web/20231024180909/https://infisical.com/pricing,no,Switched to identity-based billing (humans and machines)
Langfuse,langfuse,MIT (core),,usage (units),$29/mo (Core),50k units/mo,Enterprise,$499/mo,NOT FOUND (no 2023 snapshot),,,,no,New to this volume (no 2023 pricing snapshot)
Metabase,metabase,AGPL-3.0 + commercial (Pro/Ent),~47k,per-seat + base,$100/mo base +$6/user (Starter),"self-hosted, unlimited dashboards",Pro,$575/mo base,Cloud Starter $85/mo (+$5/user); Pro $500,per-seat + base,Pro ($500/mo),https://web.archive.org/web/20230802112427/https://www.metabase.com/pricing/,yes,Base prices up ~15-18%
n8n,n8n,Sustainable Use License,,usage (executions),EUR 20/mo (Starter),Community self-host,Enterprise,custom,"execution-tiered (slider, no static price)",usage,Enterprise,https://web.archive.org/web/20230626162010/https://n8n.io/pricing/,yes,Published a clear Starter price
Novu,novu,MIT,~36k,usage (runs),$30/mo (Pro),10k runs/mo,Enterprise,custom,"$25/mo (Indie Dev, 20k events)",usage (events),Enterprise,https://web.archive.org/web/20230923080838/https://novu.co/pricing/,no,$25 to $30; still run-metered tiers
Plane,plane,AGPL-3.0,,per-seat,$6/seat (Pro),12 users,Enterprise,custom,Pro 'Coming Soon' (no price),free + unpriced Pro,not shown,https://web.archive.org/web/20230729220444/https://plane.so/pricing,no,Launched paid pricing at $6/seat (unpriced in 2023)
PostHog,posthog,MIT core + proprietary EE,~34.7k,usage (per event),$0.000198/event (first paid tier); 1M free,1M events + 12 product free tiers,Boost add-on,$250/mo,$0.00031/event,usage (per event),Paid (no fixed price),https://web.archive.org/web/20230830152118/https://posthog.com/pricing,yes,Per-event price fell ~36%; grew to 13 products
Temporal,temporal,MIT,~12k,usage + flat,$100/mo (Essentials),none (startup credits),Enterprise,$500/mo,1M actions = $25 (usage) + $200/mo support,usage,add-on (price n/a),https://web.archive.org/web/20230928072940/https://temporal.io/pricing,no,Moved from pure usage to a $100/mo flat floor
ToolJet,tooljet,AGPL-3.0,~38k,per-seat,$19/builder-mo (Starter),2 builders / 100 AI credits,Enterprise,custom,Business $24/builder + $8/end-user,per-seat (builder + end-user),Business,https://web.archive.org/web/20230711181727/https://www.tooljet.com/pricing,yes,"Split into five tiers, added AI credits"
Twenty CRM,twenty-crm,AGPL-3.0,,per-seat,$9/seat (Pro),self-hosted (unlimited),Pro,$9/seat-mo,$29/seat-mo (Grow),per-seat,not shown,https://web.archive.org/web/20230921142623/https://twenty.com/pricing,no,Cut ~70% per seat; repositioned vs Salesforce/HubSpot
Windmill,windmill,MIT (core),~12k,per-seat + usage,~$120/mo (Enterprise self-hosted),"10 users, unlimited executions",Enterprise,~$120+/mo,$10/seat-mo (Team),per-seat + usage,Enterprise (from $440/mo),https://web.archive.org/web/20230611000554/https://www.windmill.dev/pricing,no,Split into developer/operator seats plus a compute meter
